YEAR_MONTH,PRODUCT_ID,PRODUCT_NAME,TOTAL_PROFIT,RANK
2019-01,7487,Robert Rodriguez Women's Tux Boyfriend Blazer,114.558749541,1
2019-01,7986,Sutton Studio Women's Single Button Blazer Jacket,51.673538448,2
2019-01,13151,L*Space Sahara's Dream Tab Side Hipster Bottom,40.124999732,3
2019-02,23908,Alpha Industries A-2 Leather Jacket,237.99999943,1
2019-02,17106,True Religion Men's TRBJ Flatlock Raw Edge Hoodie,120.851954608,2
2019-02,3253,Bailey 44 Women's Venom Dress,103.5,3
2019-03,24428,The North Face Apex Bionic Mens Soft Shell Ski Jacket 2013,483.104998453,1
2019-03,3383,Parker Women's Strapless Studded Dress,229.68000003,2
2019-03,899,Magaschoni Women's 100% Cashmere Peplum Back Sweater,195.047999583,3
2019-04,3454,BCBGMAXAZRIA Women's Gisela Criss Cross Foil Print Dress,196.880000398,1
2019-04,20350,Tommy Hilfiger Men's Trim Fit Two Button Side Vent Sport Coat,120.6436538,2
2019-04,27250,Intimo Men's Satin Striped Silk Robe,102.571498649,3
2019-05,20208,Theory Light Grey Blazer,174.294184956,1
2019-05,19542,Holden Shawl Collar Sweater - Men's,89.255198452,2
2019-05,13636,HOBO  Women's Rachel Vintage VI-3356 Wallet,63.385102365,3
2019-06,23989,The North Face Freedom Mens Ski Pants 2013,533.672998331,1
2019-06,7330,BCBGMAXAZRIA Women's Gavin Sweater Skirt,123.552000336,2
2019-06,3754,BCBGMAXAZRIA Women's Skye Halter Dress With Cowl Neck,112.860000059,3
2019-07,24138,Canada Goose Men's Lodge Down Hoody,269.099998847,1
2019-07,7844,Jones New York Women's No Closure Jacket,164.588999614,2
2019-07,7588,Only Hearts Women's Double Knit 2 Button Jacket,123.394999206,3
2019-08,26901,Regency New York Men's Smoking Jacket Constantine Black,235.57055781,1
2019-08,23882,Outdoor Research Men's Furio Jacket,189.349999744,2
2019-08,19866,Joseph Abboud Men's Two-button Side Vent Sport Coat,163.680000275,3
2019-09,24201,Mens Nike AirJordan Varsity Hoodie Jacket Grey / Black 451582-066,493.940998547,1
2019-09,8386,Cole Haan Women's Vintage Leather Jacket,202.940000901,2
2019-09,20073,Gold Series Big & Tall Suit Separate Sport Coat With Jacket-Relaxer,114.454000525,3
2019-10,20420,Paul Fredrick Herringbone Wool Blend Double-Breasted Suit,252.57750068,1
2019-10,20258,7 Diamonds Men's Treviso,181.675000116,2
2019-10,20212,Nau Vice Blazer - Men's,170.510000475,3
2019-11,26899,Regency New York Men's Smoking Jacket Maxwell Black,250.76865853,1
2019-11,3588,Nicole Miller Women's Reverse Stretch Charmeuse Boat Neck Dress,223.874999676,2
2019-11,28487,Ray-Ban RB2140 Original Wayfarer Sunglasses,204.501004305,3
2019-12,24083,Diesel Men's Lisardo Jacket,422.963998911,1
2019-12,7228,Robert Rodriguez Women's High Waisted Pencil Skirt,370.090000816,2
2019-12,24179,Arc'teryx Men's Diplomat Jacket,247.499999497,3
2020-01,23838,Arc'teryx Men's Alpha SV Jacket,376.875000075,1
2020-01,7702,French Connection Women's T-Stella Crepe Jacket,177.407999173,2
2020-01,19898,Diesel Men's Jepphet Jacket,176.410000412,3
2020-02,15486,NIKE WOMEN'S PRO COMPRESSION SPORTS BRA *Outstanding Support and Comfort*,482.202001669,1
2020-02,2557,Canada Goose Women's Mystique,469.499998726,2
2020-02,24247,Men's Knee Length Overcoat in Pure Cashmere,227.429999376,3
2020-03,7576,Pendleton The Portland Collection Women's Josephine Blazer,391.199999303,1
2020-03,19908,Kenneth Cole New York Men's 2 Piece Suit,252.713514416,2
2020-03,15208,Paige Maternity Jeans : Union Laurel Canyon - Renaissance,215.339999523,3
2020-04,24341,Nobis Yatesy Parka,568.099997565,1
2020-04,26543,Pure Cashmere Robe for Men,185.97800041,2
2020-04,19973,French Connection Men's Melton Jacket Blazer,179.396000472,3
2020-05,24083,Diesel Men's Lisardo Jacket,422.963998911,1
2020-05,23864,Men's Moncler Down Vest Tib,311.849999381,2
2020-05,19909,Paul Fredrick 100% Wool Two-Button Plaid Sportcoat,252.864000563,3
2020-06,8429,The North Face Women's S-XL Oso Jacket,524.643000215,1
2020-06,8268,HALSTON HERITAGE Women's Oversized Double Faced Coat,262.341425013,2
2020-06,20439,Joseph Abboud Men's Super 120's Two Button Side Vent Single Pleat Pant Tuxedo With Grosgrain Notch Lapel,260.176926644,3
2020-07,20228,Faconnable Men's Double Face Wool Jacket,301.762500429,1
2020-07,8538,Arcteryx Alpha FL Jacket - Women's,215.460000386,2
2020-07,20455,Ted Baker Men's Moosh Blazer,197.505000749,3
2020-08,24314,Nobis Men's Cartel Jacket,419.999998994,1
2020-08,8300,Canada Goose Women's Expedition Parka,399.090000261,2
2020-08,19824,Scotch & Soda Men's Outdoor Jacket,303.690000419,3
2020-09,23803,Canada Goose Men's The Chateau Jacket,436.839998737,1
2020-09,20441,Joseph Abboud Men's 2 Button Side Vent Stripe Suit With Flat Front Pant,259.79100064,2
2020-09,8369,DKNYC Women's Long Sleeve Real Leather Front Cozy,177.008000053,3
2020-10,22927,AIR JORDAN DOMINATE SHORTS MENS 465071-100,448.790999976,1
2020-10,24138,Canada Goose Men's Lodge Down Hoody,269.099998847,2
2020-10,20450,7 For All Mankind Men's Ombre Plaid Blazer,246.760000415,3
2020-11,23989,The North Face Freedom Mens Ski Pants 2013,533.672998331,1
2020-11,18656,JORDAN DURASHEEN SHORT MENS 404309-109,532.769998183,2
2020-11,20439,Joseph Abboud Men's Super 120's Two Button Side Vent Single Pleat Pant Tuxedo With Grosgrain Notch Lapel,260.176926644,3
2020-12,10453,NIKE WOMEN'S PRO COMPRESSION SPORTS BRA *Outstanding Support and Comfort*,390.999000175,1
2020-12,17094,The North Face Apex Bionic Soft Shell Jacket - Men's,378.356999785,2
2020-12,5332,True Religion Women's Casey Stretch Leather Pants,355.840000072,3
2021-01,23803,Canada Goose Men's The Chateau Jacket,436.839998737,1
2021-01,24314,Nobis Men's Cartel Jacket,419.999998994,2
2021-01,8778,Arc'teryx Moray Jacket - Women's,355.092000917,3
2021-02,22927,AIR JORDAN DOMINATE SHORTS MENS 465071-100,448.790999976,1
2021-02,7499,Yoana Baraschi Women's Gotham Tux Blazer,234.239998855,2
2021-02,4023,Rebecca Taylor Women's Nailhead Dress,234.000000637,3
2021-03,24283,The North Face Nuptse 2 Jacket - Noah Green/TNF Black,532.769998183,1
2021-03,2559,NIKE WOMEN'S PRO COMPRESSION SPORTS BRA *Outstanding Support and Comfort*,499.358997753,2
2021-03,18340,Canada Goose Men's The Chateau Jacket,477.589998585,3
2021-04,23989,The North Face Freedom Mens Ski Pants 2013,533.672998331,1
2021-04,24428,The North Face Apex Bionic Mens Soft Shell Ski Jacket 2013,483.104998453,2
2021-04,8390,Canada Goose Women's Solaris,398.235000549,3
2021-05,24447,Darla,594.404998809,1
2021-05,20013,Ben Sherman Men's Side Vent 2 Piece Suit,548.460001387,2
2021-05,24201,Mens Nike AirJordan Varsity Hoodie Jacket Grey / Black 451582-066,493.940998547,3
2021-06,8013,NAU Highline Blazer Women's Clothing,536.115413991,1
2021-06,17094,The North Face Apex Bionic Soft Shell Jacket - Men's,378.356999785,2
2021-06,7718,Trina Turk Women's Alfred,246.361998914,3
2021-07,24447,Darla,594.404998809,1
2021-07,8774,Nobis Tula Parka,460.350000928,2
2021-07,3360,Parker Women's Beaded Shift Dress,444.312000543,3
2021-08,24314,Nobis Men's Cartel Jacket,419.999998994,1
2021-08,8548,United Face Womens Rex Fur Leather Swing Coat,366.212000608,2
2021-08,7557,Joe's Jeans Women's Opale Jacket,225.149998646,3
